Team	JerseyNo	Age	Height	Weight
A	1	4	1.19	53.1
A	2	6	1.25	48.2
A	3	7	1.28	48.4
A	4	4	1.26	48.4
A	5	4	1.22	54.6
A	6	6	1.23	49
A	7	4	1.23	50
A	8	7	1.33	51.1
A	9	7	1.20	56
A	10	7	1.26	60.6
A	11	5	1.26	58.6
A	12	6	1.39	58.4
A	13	7	1.27	55.3
A	14	7	1.26	50.5
A	15	4	1.20	45.7
A	16	5	1.28	65.2
A	17	4	1.19	41.7
A	18	7	1.25	57.1
A	19	5	1.25	55.1
A	20	7	1.32	54.8
A	21	4	1.16	47.2
A	22	7	1.27	53.1
A	23	6	1.28	51.2
A	24	6	1.34	55
A	25	4	1.21	57.1
B	1	12	1.60	73.4
B	2	12	1.58	79.6
B	3	10	1.43	80.3
B	4	13	1.55	79.8
B	5	13	1.61	74.5
B	6	11	1.56	80.3
B	7	11	1.49	75.5
B	8	11	1.54	68.2
B	9	12	1.59	77.3
B	10	10	1.54	77.5
B	11	14	1.66	79.9
B	12	10	1.55	68.7
B	13	12	1.64	70.3
B	14	12	1.57	76
B	15	11	1.48	79.6
B	16	13	1.58	76.5
B	17	12	1.60	70.6
B	18	10	1.50	74.9
B	19	10	1.57	70.6
B	20	11	1.58	82.6
B	21	11	1.63	81.5
B	22	14	1.64	83.5
B	23	11	1.52	80.7
B	24	10	1.48	78.3
B	25	14	1.71	74.9
C	1	18	1.80	99.1
C	2	25	2.04	110.2
C	3	23	1.86	106.8
C	4	24	2.01	103.2
C	5	25	1.91	104.4
C	6	24	2.04	110
C	7	24	1.94	108
C	8	20	1.88	97.2
C	9	24	1.92	111.1
C	10	22	1.86	99.7
C	11	18	1.73	96.1
C	12	19	1.83	96.4
C	13	24	2.00	107.6
C	14	23	1.94	103.6
C	15	21	1.90	118.1
C	16	21	1.88	97.5
C	17	19	1.76	90.2
C	18	19	1.86	112.5
C	19	20	1.85	105.6
C	20	24	2.05	110.6
C	21	25	1.91	108.4
C	22	24	1.90	108.6
C	23	25	1.97	101.4
C	24	19	1.83	106.8
C	25	24	1.94	110.6
